Date,High,Low,Open,Close,Volume,Symbol
1/11/2021,333.45,326,326.04,329.98,31518900,Facebook
2/11/2021,334.79,323.8,331.38,328.08,28353000,Facebook
3/11/2021,332.15,323.2,327.49,331.62,20786500,Facebook
4/11/2021,337.27,332.65,334.01,335.85,22495300,Facebook
5/11/2021,346.79,339.64,340.31,341.13,26872800,Facebook
8/11/2021,344.79,338.34,344.42,338.62,18342500,Facebook
9/11/2021,341.31,334.47,340,335.37,17556700,Facebook
10/11/2021,333.19,325.51,332.49,327.64,21872600,Facebook
11/11/2021,332.46,327,329.82,327.74,12376600,Facebook
12/11/2021,341.86,329.78,330.18,340.89,25414300,Facebook
15-11-2021,353.65,343.2,344.34,347.56,25076600,Facebook
16-11-2021,346.65,340.87,343.83,342.96,18181100,Facebook
17-11-2021,347.3,340.1,344.24,340.77,13602800,Facebook
18-11-2021,342.46,335.3,339.72,338.69,17487200,Facebook
19-11-2021,352.1,339.9,342.2,345.3,26488500,Facebook
22-11-2021,353.83,340.51,349.05,341.01,27116800,Facebook
23-11-2021,341.4,333.5,338.93,337.25,17225000,Facebook
24-11-2021,341.78,332.81,336,341.06,13566200,Facebook
26-11-2021,337.75,331.9,335.8,333.12,14750700,Facebook
29-11-2021,340.67,335.31,336.89,338.03,16650900,Facebook
30-11-2021,335.81,323.43,335,324.46,25390000,Facebook
1/12/2021,330.5,310.29,330.29,310.6,30329600,Facebook
2/12/2021,314.6,307.2,311.4,310.39,24396200,Facebook
3/12/2021,313.75,299.5,313.73,306.84,27471000,Facebook
6/12/2021,320.1,306.34,308.13,317.87,21758300,Facebook
7/12/2021,326.54,321,321.57,322.81,18794000,Facebook
8/12/2021,332.75,323.07,325,330.56,19937700,Facebook
9/12/2021,336.13,328,329.54,329.82,16879200,Facebook
10/12/2021,335.03,326.37,332.56,329.75,14528000,Facebook
13-12-2021,341.09,329.59,330.95,334.49,22948700,Facebook
14-12-2021,335.7,327.65,328.05,333.74,20461000,Facebook
15-12-2021,342.11,323.98,332.49,341.66,24681300,Facebook
16-12-2021,344.46,333.74,338.98,334.9,22635000,Facebook
17-12-2021,337.11,330.75,332.8,333.79,40012600,Facebook
20-12-2021,329.9,322.53,329.78,325.45,17901800,Facebook
21-12-2021,336,323.75,326.41,334.2,16116800,Facebook
22-12-2021,334.51,328.26,333.8,330.45,16764600,Facebook
23-12-2021,336.67,328.36,330.1,335.24,13987700,Facebook
27-12-2021,347.87,338.01,338.85,346.18,17795000,Facebook
28-12-2021,352.71,345.2,346.63,346.22,16637600,Facebook
29-12-2021,349.69,341.64,346.91,342.94,10747000,Facebook
30-12-2021,347.23,343.22,344,344.36,10593300,Facebook
31-12-2021,343.44,336.27,343.02,336.35,12870500,Facebook
3/1/2022,341.08,337.19,338.3,338.54,14537900,Facebook
4/1/2022,343.09,331.87,339.95,336.53,15998000,Facebook
5/1/2022,335.76,323.84,333.02,324.17,20564500,Facebook
6/1/2022,339.17,322.72,322.82,332.46,27962800,Facebook
7/1/2022,337,328.88,332.74,331.79,14722000,Facebook
10/1/2022,328.34,315.43,325.31,328.07,24942400,Facebook
11/1/2022,334.63,325.28,326.78,334.37,16226800,Facebook
12/1/2022,336.37,330.03,335.18,333.26,14104900,Facebook
13-01-2022,335.63,325.76,334.98,326.48,14797100,Facebook
14-01-2022,332.73,321.21,321.79,331.9,16868500,Facebook
18-01-2022,324.21,317.64,323.29,318.15,22645600,Facebook
19-01-2022,327.1,319.33,319.58,319.59,20814700,Facebook
20-01-2022,327.82,315.98,323.9,316.56,16925000,Facebook
21-01-2022,318.31,303.04,314.81,303.17,28710700,Facebook
24-01-2022,309.53,289.01,297.84,308.71,38878100,Facebook
25-01-2022,306.23,297.58,299.95,300.15,25108500,Facebook
26-01-2022,307.51,290.85,307.01,294.63,28348800,Facebook
27-01-2022,301.71,294.26,297.75,294.64,21629900,Facebook
28-01-2022,301.9,293.03,295.62,301.71,21871600,Facebook
31-01-2022,313.79,299.32,300.68,313.26,21579500,Facebook
1/2/2022,319.66,312.12,314.56,319,18023800,Facebook
2/2/2022,328,316.87,327.82,323,58458300,Facebook
3/2/2022,248,235.75,244.65,237.76,188119900,Facebook
4/2/2022,242.61,230.11,234.97,237.09,89342200,Facebook
7/2/2022,238.3,224.01,237.7,224.91,88613800,Facebook
8/2/2022,225.77,216.15,220.85,220.18,94729700,Facebook
9/2/2022,233.37,222.21,224.2,232,86563300,Facebook
10/2/2022,235,226.7,228.27,228.07,49310400,Facebook
11/2/2022,230.42,218.77,228.46,219.55,46156900,Facebook
14-02-2022,221,214.78,219.31,217.7,38184000,Facebook
15-02-2022,221.15,215.06,220.47,221,42685500,Facebook
16-02-2022,217.46,212.36,212.41,216.54,45817500,Facebook
17-02-2022,217.5,207.16,214.02,207.71,38747500,Facebook
18-02-2022,210.75,205.18,209.39,206.16,37128400,Facebook
22-02-2022,207.48,200.06,202.34,202.08,39852400,Facebook
23-02-2022,206.94,198.05,204.16,198.45,44481400,Facebook
24-02-2022,208.35,190.22,191.06,207.6,49957200,Facebook
25-02-2022,211.32,203.18,204.94,210.48,37627600,Facebook
28-02-2022,213.15,206.83,207.68,211.03,34239800,Facebook
1/3/2022,211.75,202.22,209.87,203.49,27094900,Facebook
2/3/2022,209.15,202.02,204.78,208.11,29452100,Facebook
3/3/2022,209.08,201.42,209.02,202.97,27263500,Facebook
4/3/2022,205.89,198.79,202.37,200.06,32130900,Facebook
7/3/2022,200.89,187.28,200.79,187.47,38560600,Facebook
8/3/2022,196.7,186.11,187.85,190.29,37508100,Facebook
9/3/2022,199.1,193.92,195.74,198.5,31894700,Facebook
10/3/2022,196.28,191.07,194.84,195.21,24853000,Facebook
11/3/2022,193.56,186.67,192.64,187.61,34694500,Facebook
14-03-2022,192.29,185.82,187.03,186.63,31010500,Facebook
15-03-2022,192.28,185.91,190.8,192.03,31721700,Facebook
16-03-2022,203.73,194.52,194.7,203.63,40640300,Facebook
17-03-2022,208.04,201.11,201.7,207.84,29499700,Facebook
18-03-2022,216.8,206,206.7,216.49,52128000,Facebook
21-03-2022,214.71,207.63,214.5,211.49,30142300,Facebook
22-03-2022,219.46,210.18,211.37,216.65,31998800,Facebook
23-03-2022,216.8,212.16,213.33,213.46,23717300,Facebook
24-03-2022,220.67,214.79,215,219.57,31502300,Facebook
25-03-2022,225.5,218.89,220.51,221.82,40039000,Facebook
28-03-2022,224.04,219.54,222.13,223.59,26224100,Facebook
