Date,Open,High,Low,Close,Volume,Symbol
17/06/2021,82.87999725,83.58000183,82,83.12999725,1457100,INCY
18/06/2021,83,84.13999939,82.62000275,83.95999908,2074200,INCY
21/06/2021,84.41999817,85.18000031,84.08999634,84.93000031,1454800,INCY
22/06/2021,85.15000153,85.98999786,82.44000244,85.08999634,2130300,INCY
23/06/2021,85.5,85.75,84.30999756,85.12999725,1200900,INCY
24/06/2021,85.41000366,86.52999878,84.41999817,86.12999725,1415900,INCY
25/06/2021,85.51999664,87.01000214,84.69000244,86.83000183,1930600,INCY
28/06/2021,88.12000275,88.26000214,85.31999969,85.61000061,968200,INCY
29/06/2021,85.20999908,85.97000122,84.51000214,84.69999695,722600,INCY
30/06/2021,84.87000275,84.98999786,83.86000061,84.12999725,973200,INCY
1/7/2021,84.08999634,84.5,83.12000275,84.01999664,1564000,INCY
2/7/2021,84.05000305,84.23000336,82.84999847,83.58000183,1034000,INCY
6/7/2021,83.31999969,83.75,82.90000153,83.33999634,1069100,INCY
7/7/2021,83.41999817,83.41999817,81.63999939,82.12999725,979300,INCY
8/7/2021,81.25,82.48000336,81.11000061,81.43000031,1018500,INCY
9/7/2021,81.15000153,82.12000275,80.44000244,82.04000092,880300,INCY
12/7/2021,82.04000092,82.44000244,80.88999939,81.18000031,991700,INCY
13/07/2021,81.13999939,81.56999969,80.25,80.62000275,695700,INCY
14/07/2021,80.80999756,80.90000153,79.52999878,79.87000275,713100,INCY
15/07/2021,79.80000305,80.48000336,78.80000305,79.98999786,1015200,INCY
16/07/2021,80.23000336,80.58000183,77.55000305,78.33000183,1803000,INCY
19/07/2021,78.09999847,79.58000183,77.30000305,77.55999756,1328500,INCY
20/07/2021,78.45999908,79.29000092,78,79.20999908,1863400,INCY
21/07/2021,78.93000031,79.80000305,78.30000305,79.13999939,1166000,INCY
22/07/2021,78.83000183,78.91999817,78.05000305,78.62000275,843600,INCY
23/07/2021,78.94000244,79.62999725,78.51999664,79.30000305,854400,INCY
26/07/2021,78.76999664,79.16999817,77.11000061,77.30999756,787100,INCY
27/07/2021,76.98999786,77.09999847,75.55000305,76.33999634,2015100,INCY
28/07/2021,76.54000092,78.33000183,76.26000214,78.01000214,1212800,INCY
29/07/2021,78.51000214,78.62000275,77.23000336,77.40000153,1534500,INCY
30/07/2021,77.37999725,77.83999634,76.98999786,77.34999847,1497300,INCY
2/8/2021,77.48999786,78.66999817,77.22000122,78.47000122,1361000,INCY
3/8/2021,77.91999817,78.16000366,75.75,77.94999695,1577800,INCY
4/8/2021,78.18000031,79.80999756,77.22000122,77.33999634,1648400,INCY
5/8/2021,77.62000275,77.62000275,76.30000305,76.91999817,1224000,INCY
6/8/2021,76.83000183,77.06999969,76,76.30000305,979000,INCY
9/8/2021,76.48000336,76.80000305,75.15000153,75.30999756,973200,INCY
10/8/2021,75.31999969,75.44999695,72.97000122,73.62000275,1193200,INCY
11/8/2021,73.98000336,74.43000031,72.48000336,72.90000153,1797900,INCY
12/8/2021,73.30000305,73.44999695,71.91000366,72.90000153,1213500,INCY
13/08/2021,73.08999634,73.91000366,72.61000061,73.47000122,825800,INCY
16/08/2021,73.48999786,74.01999664,72.84999847,73.98999786,1025100,INCY
17/08/2021,73.62999725,75.69000244,73.41999817,75.66000366,1162400,INCY
18/08/2021,75.58000183,75.69000244,74.45999908,74.54000092,983500,INCY
19/08/2021,74.52999878,75.61000061,74.41999817,74.51000214,865100,INCY
20/08/2021,74.47000122,76.05999756,74.41999817,74.90000153,772200,INCY
23/08/2021,75.18000031,75.77999878,74.65000153,75.52999878,659700,INCY
24/08/2021,75.76000214,75.77999878,75.19000244,75.54000092,503700,INCY
25/08/2021,75.68000031,75.94999695,75,75.76000214,768000,INCY
26/08/2021,75.94999695,76.19999695,75.09999847,75.15000153,763300,INCY
27/08/2021,75.51000214,76.91000366,75,75.68000031,708700,INCY
30/08/2021,75.75,76.66000366,75.75,76.05000305,580100,INCY
31/08/2021,76.16999817,76.73999786,75.59999847,76.48999786,1317000,INCY
1/9/2021,76.70999908,80.30000305,76.12999725,77.02999878,2662300,INCY
2/9/2021,77.20999908,77.70999908,76.08999634,77.23000336,856000,INCY
3/9/2021,76.91000366,77.47000122,76.01000214,76.08999634,1042900,INCY
7/9/2021,75.77999878,76.70999908,74.38999939,74.69999695,1107800,INCY
8/9/2021,74.41999817,75,73.88999939,74.05999756,559900,INCY
9/9/2021,74.18000031,75,72.65000153,72.69000244,877000,INCY
10/9/2021,72.72000122,73.33000183,70.97000122,71.12000275,1186700,INCY
13/09/2021,71.76000214,72.84999847,71.15000153,72.44999695,1798800,INCY
14/09/2021,72.95999908,73.02999878,71.87000275,72.23999786,874200,INCY
15/09/2021,72.62000275,73.86000061,72.54000092,73.44000244,1316600,INCY
16/09/2021,72.94000244,75.08000183,72.94000244,75.04000092,1123900,INCY
17/09/2021,75.25,76.11000061,74.22000122,75.98999786,2544900,INCY
20/09/2021,78,79.5,75.51999664,75.91000366,2735500,INCY
21/09/2021,75.75,76.83000183,74.86000061,76.05999756,1208100,INCY
22/09/2021,73.12000275,73.84999847,69.41999817,69.58999634,5782700,INCY
23/09/2021,69.23000336,70.22000122,68.81999969,69.77999878,2412200,INCY
24/09/2021,69.69000244,70.13999939,68.62000275,69,1407400,INCY
27/09/2021,68.91000366,69.27999878,67.87000275,69.26000214,1654300,INCY
28/09/2021,69.06999969,69.62999725,68.55000305,68.68000031,1156500,INCY
29/09/2021,68.80000305,69.23999786,68.29000092,68.66999817,1609000,INCY
30/09/2021,68.73999786,69.91000366,68.69999695,68.77999878,1731000,INCY
1/10/2021,68.38999939,68.76000214,67.40000153,68.20999908,2391500,INCY
4/10/2021,67.80000305,68.12000275,66.12000275,66.31999969,1704000,INCY
5/10/2021,66.12000275,66.58999634,65.23999786,65.33000183,2325100,INCY
6/10/2021,64.87999725,66.19000244,64.76999664,65.81999969,2209500,INCY
7/10/2021,65.81999969,67.02999878,65.44000244,65.65000153,2152100,INCY
8/10/2021,65.84999847,66.12000275,65.30999756,65.88999939,1613900,INCY
11/10/2021,65.69000244,65.90000153,64.77999878,64.80999756,1094400,INCY
12/10/2021,64.87999725,65.22000122,64.19999695,64.36000061,1142200,INCY
